YEAR,MONTH,DAY,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,ARRIVAL_DELAY,CANCELLED,CANCELLATION_REASON
2023,9,5,6E,BLR,AMD,1916,5.12,4.09,0,
2023,3,24,6E,BOM,BLR,1928,6.59,5.18,0,
2023,1,9,AI,GOI,CCU,1704,27.5,19.71,0,
2023,8,20,6E,BOM,DEL,1632,11.15,14.74,0,
2023,7,24,6E,HYD,BLR,922,13.99,16.3,0,
2023,2,16,6E,BLR,AMD,1701,6.1,6.7,0,
2023,1,23,6E,BLR,IXC,556,19.34,23.91,0,
2023,12,26,G8,GOI,IXC,1137,31.57,30.54,0,
2023,12,13,SG,DEL,PNQ,619,23.89,21.58,0,
2023,8,12,6E,DEL,BLR,2128,10.92,14.68,0,
2023,10,25,SG,HYD,BOM,623,4.72,4.44,0,
2023,5,11,6E,SXR,BLR,1101,11.43,11.09,0,
2023,10,6,6E,CCU,TRV,1632,61.22,46.29,0,
2023,8,19,AI,IXC,BOM,1919,46.02,42.97,0,
2023,4,19,SG,BLR,DEL,814,5.09,7.38,0,
2023,4,26,6E,DEL,MAA,1056,4.08,4.85,0,
2023,7,8,G8,BOM,PNQ,1210,22.04,31.31,0,
2023,7,24,I5,HYD,PNQ,2105,24.16,18.36,0,
2023,2,4,6E,HYD,BLR,1944,3.06,2.64,0,
2023,3,14,6E,HYD,AMD,1534,3.12,3.52,0,
2023,6,17,6E,CCU,LKO,718,17.05,19.36,0,
2023,8,7,6E,DEL,BHU,1255,11.79,13.23,0,
2023,6,22,6E,BHU,PNQ,1523,6.27,7.24,0,
2023,4,9,6E,DEL,BLR,2046,19.75,14.79,0,
2023,1,14,6E,BOM,MAA,1943,38.51,35.59,0,
2023,8,5,G8,SXR,MAA,818,14.57,13.42,0,
2023,10,23,6E,DEL,HYD,1741,5.71,4.95,0,
2023,6,16,SG,DEL,MAA,1811,41.79,33.65,0,
2023,9,11,6E,DEL,HYD,1232,30.23,22.05,0,
2023,11,15,6E,DEL,HYD,1036,4.35,3.28,0,
2023,5,1,AI,JAI,BLR,1627,8.43,7.33,0,
2023,11,9,6E,BHU,IXC,627,1.27,1.6,0,
2023,1,8,6E,HYD,MAA,1141,10.39,14.71,0,
2023,2,21,6E,BOM,CCU,534,10.37,9.08,0,
2023,5,27,6E,BLR,SXR,737,8.98,7.53,0,
2023,8,25,SG,BHU,BOM,1240,19.2,22.07,0,
2023,1,12,SG,MAA,GOI,1523,20.3,13.71,0,
2023,10,9,6E,CCU,BOM,826,0.68,0.73,0,
2023,9,22,6E,DEL,AMD,616,5.71,7.57,0,
2023,9,16,6E,BOM,LKO,1733,5.18,6.25,0,
2023,10,12,SG,DEL,SXR,1527,9.11,11.67,0,
2023,5,10,AI,HYD,BLR,1545,15.92,15.76,0,
2023,12,19,6E,DEL,BLR,1916,19.19,13.6,0,
2023,3,19,SG,LKO,BLR,1636,11.81,11.86,0,
2023,12,1,UK,DEL,BOM,1524,9.58,10.4,0,
2023,8,12,AI,MAA,HYD,550,9.27,10.46,0,
2023,8,28,G8,BLR,DEL,1925,15.8,17.34,0,
2023,10,2,6E,BLR,HYD,1153,14.83,10.71,0,
2023,9,20,6E,BLR,BOM,1542,6.66,8.05,0,
2023,4,23,AI,TRV,GOI,1021,17.29,14.6,0,
2023,1,17,AI,GOI,SXR,933,10.99,13.67,0,
2023,6,16,6E,DEL,HYD,1752,15.76,21.43,0,
2023,6,26,6E,CCU,HYD,1254,9.35,6.34,0,
2023,6,11,6E,BOM,MAA,1910,12.29,13.88,0,
2023,6,11,6E,PNQ,HYD,1743,33.63,46.82,0,
2023,7,22,SG,HYD,AMD,1443,12.64,9.24,0,
2023,3,13,AI,GOI,DEL,1717,24.4,18.9,0,
2023,1,15,6E,BLR,TRV,611,13.25,15.69,0,
2023,8,16,AI,MAA,HYD,611,11.73,11.65,0,
2023,9,7,6E,BOM,DEL,1628,26.91,19.12,0,
2023,5,17,6E,DEL,PNQ,1729,14.03,10.48,0,
2023,6,26,6E,CCU,GOI,1144,5.78,8.4,0,
2023,6,21,AI,BOM,HYD,1954,13.73,19.28,0,
2023,11,4,AI,CCU,HYD,2326,4.52,5.05,0,
2023,12,16,G8,BLR,DEL,901,36.49,47.66,0,
2023,8,16,6E,PNQ,HYD,2123,10.7,13.09,0,
2023,12,6,SG,CCU,JAI,1044,,,1,B
2023,12,27,UK,DEL,SXR,1323,8.92,13.21,0,
2023,3,27,G8,IXC,MAA,2003,8.9,8.06,0,
2023,7,27,SG,BOM,IXC,1042,23.1,23.31,0,
2023,9,19,G8,HYD,DEL,1004,8.77,9.21,0,
2023,9,8,6E,PNQ,BHU,1514,0.55,0.37,0,
2023,8,8,I5,BLR,DEL,1647,48.51,36.58,0,
2023,9,22,UK,BLR,CCU,1349,1.53,1.34,0,
2023,7,13,6E,LKO,BOM,1540,14.24,20.52,0,
2023,12,16,6E,MAA,BLR,2215,9.01,8.45,0,
2023,12,14,6E,JAI,MAA,1028,7.48,10.3,0,
2023,11,16,6E,CCU,BOM,908,19.12,12.81,0,
2023,2,27,6E,HYD,BOM,833,1.84,1.32,0,
2023,10,23,6E,GOI,MAA,1151,5.59,7.48,0,
2023,1,9,SG,JAI,DEL,1659,11.24,14.86,0,
2023,3,12,6E,JAI,MAA,2009,6.42,6.89,0,
2023,6,12,6E,CCU,DEL,2324,9.73,6.81,0,
2023,11,9,AI,PNQ,BLR,1320,12.38,17.29,0,
2023,1,26,6E,BLR,LKO,1448,12.73,19.02,0,
2023,4,17,AI,BLR,DEL,520,13.87,9.58,0,
2023,1,23,6E,PNQ,BOM,1842,8.04,9.67,0,
2023,8,15,UK,CCU,MAA,2345,9.74,12.92,0,
2023,3,13,G8,MAA,BOM,500,7.69,5.22,0,
2023,2,5,6E,PNQ,CCU,758,21.05,27.66,0,
2023,5,23,6E,LKO,DEL,2102,1.9,1.76,0,
2023,9,4,G8,DEL,BOM,914,35.58,32.09,0,
2023,9,28,6E,MAA,BOM,1617,8.89,10.47,0,
2023,9,4,6E,BOM,BLR,625,8.53,11.94,0,
2023,12,7,6E,BOM,CCU,555,18.12,15.28,0,
2023,10,28,SG,BOM,AMD,2151,14.44,14.49,0,
2023,9,11,SG,HYD,IXC,1758,14.39,10.31,0,
2023,8,1,6E,TRV,CCU,2336,11.52,9.24,0,
2023,12,16,6E,DEL,BOM,1454,26.29,35.71,0,
2023,11,25,6E,BOM,MAA,1300,7.75,6.67,0,
2023,12,14,AI,BOM,HYD,903,18.44,14.97,0,
2023,7,23,6E,DEL,AMD,813,20.28,26.18,0,
2023,10,16,AI,AMD,IXC,832,10.56,14.63,0,
2023,1,15,6E,MAA,HYD,1147,9.47,11.24,0,
2023,8,18,6E,PNQ,MAA,1302,7.37,5.85,0,
2023,4,27,SG,GOI,BHU,2017,6.45,8.87,0,
2023,5,22,AI,CCU,BLR,1306,3.39,2.55,0,
2023,9,12,6E,BLR,BOM,1133,3.31,3.01,0,
2023,1,13,UK,MAA,CCU,1424,5.49,6.67,0,
2023,3,24,6E,DEL,HYD,1348,32.47,32.12,0,
2023,6,7,6E,CCU,DEL,1333,7.1,9.44,0,
2023,4,12,I5,BLR,CCU,1714,7.31,6.6,0,
2023,4,14,6E,DEL,PNQ,1255,7.51,5.5,0,
2023,6,14,6E,BOM,JAI,1534,36.84,27.19,0,
2023,10,16,6E,BLR,LKO,2152,6.78,8.37,0,
2023,8,13,6E,CCU,GOI,2048,11.85,10.74,0,
2023,1,11,SG,TRV,BLR,2009,16.34,12.72,0,
2023,2,28,6E,BOM,LKO,607,5.82,5.43,0,
2023,2,24,SG,CCU,GOI,1416,4.76,6.0,0,
2023,5,1,6E,DEL,BLR,506,8.12,6.98,0,
2023,10,17,6E,BOM,MAA,1914,18.23,17.35,0,
2023,12,19,6E,CCU,IXC,753,8.69,11.2,0,
2023,8,16,SG,CCU,TRV,2349,23.99,32.52,0,
2023,10,16,6E,CCU,LKO,1806,41.92,29.47,0,
2023,2,24,G8,BLR,IXC,1840,10.58,9.77,0,
2023,11,11,6E,BLR,PNQ,2221,26.54,29.56,0,
2023,1,6,6E,HYD,CCU,1313,18.75,19.9,0,
2023,11,19,6E,BLR,BOM,1013,2.25,2.55,0,
2023,1,11,SG,CCU,DEL,2003,13.71,16.83,0,
2023,4,2,G8,LKO,BLR,1955,30.37,25.45,0,
2023,1,12,UK,LKO,AMD,2237,10.1,9.73,0,
2023,1,20,6E,PNQ,HYD,1121,10.12,7.11,0,
2023,3,10,6E,AMD,CCU,1954,7.57,5.86,0,
2023,6,22,SG,LKO,BLR,2354,43.0,32.32,0,
2023,1,23,AI,BHU,IXC,529,,,1,B
2023,8,5,6E,BOM,BLR,1616,13.94,13.8,0,
2023,4,4,6E,HYD,DEL,1627,14.62,11.34,0,
2023,5,23,QP,AMD,CCU,1722,23.42,18.52,0,
2023,10,3,UK,LKO,BLR,651,10.69,12.89,0,
2023,4,18,6E,BOM,CCU,2032,12.65,15.41,0,
2023,2,13,6E,LKO,BLR,1416,23.08,18.26,0,
2023,6,27,6E,AMD,HYD,2203,7.52,6.45,0,
2023,11,10,AI,TRV,DEL,2125,12.48,8.55,0,
2023,5,8,G8,HYD,AMD,635,13.81,11.76,0,
2023,7,3,AI,BOM,BLR,711,14.64,12.2,0,
2023,3,19,6E,CCU,DEL,2101,23.66,17.04,0,
2023,2,17,6E,MAA,BLR,2110,10.02,10.49,0,
2023,1,27,6E,IXC,BOM,1257,13.48,17.11,0,
2023,4,20,6E,TRV,BLR,2000,2.37,2.47,0,
2023,5,26,AI,LKO,SXR,712,9.91,13.11,0,
2023,7,6,AI,BLR,BOM,2028,,,1,B
2023,5,5,6E,DEL,BOM,505,28.91,21.24,0,
2023,3,2,6E,DEL,GOI,713,7.16,8.23,0,
2023,3,3,6E,MAA,BLR,1959,2.49,1.87,0,
2023,10,25,6E,CCU,DEL,801,-0.83,-1.18,0,
2023,10,21,SG,HYD,DEL,1504,33.04,42.87,0,
2023,3,13,AI,DEL,MAA,1229,13.83,9.94,0,
2023,5,25,AI,DEL,CCU,559,19.66,17.48,0,
2023,7,20,UK,DEL,LKO,645,14.12,10.65,0,
2023,7,14,SG,BLR,PNQ,2256,49.98,46.54,0,
2023,10,6,SG,LKO,BLR,1054,7.15,8.21,0,
2023,8,16,6E,DEL,BLR,1007,16.76,14.17,0,
2023,4,20,SG,BOM,DEL,820,12.41,10.44,0,
2023,6,3,6E,CCU,PNQ,2227,24.67,20.51,0,
2023,8,6,SG,BOM,HYD,1807,31.32,22.38,0,
2023,12,27,UK,BOM,HYD,1837,13.43,13.39,0,
2023,10,27,6E,PNQ,DEL,1718,35.89,26.4,0,
2023,9,24,6E,CCU,HYD,505,-2.65,-1.83,0,
2023,3,24,SG,HYD,GOI,1927,10.94,14.32,0,
2023,6,1,6E,AMD,BLR,1336,6.19,5.08,0,
2023,10,4,SG,BLR,GOI,1210,24.9,29.15,0,
2023,1,24,6E,MAA,HYD,615,6.65,7.83,0,
2023,7,3,SG,BOM,DEL,616,17.34,23.67,0,
2023,12,3,AI,BOM,BLR,2114,15.65,18.28,0,
2023,11,10,SG,DEL,MAA,2052,13.71,20.51,0,
2023,6,19,6E,BOM,DEL,1222,11.33,12.29,0,
2023,8,23,6E,BOM,BLR,1815,20.83,17.56,0,
2023,4,10,6E,JAI,PNQ,916,3.82,3.22,0,
2023,3,4,6E,BLR,BOM,904,11.22,13.8,0,
2023,7,28,6E,CCU,HYD,814,5.26,5.17,0,
2023,8,12,6E,LKO,PNQ,835,5.09,4.83,0,
2023,9,5,SG,LKO,BOM,1406,10.62,9.43,0,
2023,9,1,SG,AMD,BOM,653,3.27,3.07,0,
2023,7,15,6E,AMD,MAA,1404,,,1,B
2023,9,22,6E,CCU,BOM,755,6.78,4.94,0,
2023,5,18,UK,LKO,AMD,1014,11.68,9.23,0,
2023,10,17,6E,PNQ,BOM,527,1.56,2.24,0,
2023,4,7,6E,TRV,BLR,1612,3.5,3.55,0,
2023,3,13,UK,BLR,BOM,1032,0.02,0.02,0,
2023,6,6,G8,BOM,DEL,1657,20.67,14.57,0,
2023,10,12,SG,BLR,BOM,709,6.76,5.79,0,
2023,2,5,G8,HYD,DEL,2000,22.0,19.09,0,
2023,1,15,6E,DEL,MAA,644,9.67,11.83,0,
2023,11,2,6E,BLR,AMD,1045,3.02,2.41,0,
2023,12,6,6E,IXC,AMD,1112,9.41,12.81,0,
2023,1,5,6E,PNQ,HYD,840,6.39,6.37,0,
2023,2,27,AI,HYD,BLR,1932,6.35,7.43,0,
2023,12,26,6E,SXR,DEL,2011,7.65,10.59,0,
2023,10,24,AI,BOM,DEL,638,8.92,12.42,0,
2023,5,16,6E,DEL,SXR,1701,5.35,4.84,0,
2023,6,21,6E,CCU,SXR,2024,8.18,7.48,0,
2023,7,12,6E,IXC,PNQ,1056,11.64,12.77,0,
2023,4,21,6E,BOM,LKO,2135,10.73,11.31,0,
2023,9,7,6E,BLR,CCU,1324,5.06,3.91,0,
2023,9,8,SG,PNQ,AMD,2254,14.2,10.44,0,
2023,12,12,UK,BLR,PNQ,1540,12.33,15.58,0,
2023,6,5,6E,BLR,PNQ,1835,19.13,26.33,0,
2023,9,2,6E,BOM,PNQ,1118,,,1,C
2023,10,24,6E,DEL,BLR,653,13.3,16.1,0,
2023,9,26,6E,BHU,AMD,1246,1.73,1.29,0,
2023,8,15,6E,SXR,PNQ,1754,16.15,14.01,0,
2023,1,10,SG,TRV,DEL,1623,,,1,B
2023,11,16,SG,BOM,LKO,825,12.3,15.88,0,
2023,1,15,SG,TRV,BLR,1745,18.9,15.15,0,
2023,9,10,SG,BLR,DEL,1743,24.1,20.92,0,
2023,1,19,6E,MAA,HYD,936,7.79,5.84,0,
2023,9,4,6E,PNQ,HYD,1724,2.33,3.33,0,
2023,6,27,6E,PNQ,JAI,1239,3.79,4.64,0,
2023,8,27,6E,CCU,BLR,2220,5.93,8.23,0,
2023,10,7,6E,MAA,BOM,558,13.18,15.32,0,
2023,8,2,6E,GOI,LKO,1317,23.82,28.06,0,
2023,6,23,6E,LKO,BOM,925,4.11,2.79,0,
2023,10,15,SG,DEL,MAA,927,11.7,17.37,0,
2023,6,28,6E,DEL,SXR,558,10.57,9.62,0,
2023,10,23,6E,AMD,PNQ,1229,3.37,2.94,0,
2023,4,21,6E,BLR,DEL,1239,3.35,3.34,0,
2023,2,5,6E,BLR,BOM,619,1.78,1.3,0,
2023,6,9,6E,DEL,BOM,2333,20.84,19.33,0,
2023,3,16,6E,BHU,BOM,1246,36.29,24.47,0,
2023,11,26,UK,DEL,GOI,1243,4.3,3.88,0,
2023,5,28,6E,BOM,DEL,2009,6.2,4.56,0,
2023,8,18,G8,BLR,JAI,1036,24.07,33.51,0,
2023,10,8,6E,BLR,DEL,849,6.4,7.11,0,
2023,1,6,SG,JAI,BOM,1321,14.7,20.12,0,
2023,8,20,6E,DEL,BOM,1532,21.94,16.63,0,
2023,6,11,6E,DEL,GOI,1442,29.38,22.83,0,
2023,1,4,QP,HYD,DEL,801,10.63,13.11,0,
2023,3,9,AI,SXR,DEL,2201,43.6,43.59,0,
2023,5,9,6E,HYD,BLR,1512,0.26,0.31,0,
2023,8,10,I5,JAI,GOI,1707,14.82,19.8,0,
2023,12,25,SG,DEL,BHU,1019,28.1,21.45,0,
2023,3,10,AI,MAA,BOM,2321,7.58,8.46,0,
2023,2,3,6E,DEL,BLR,1820,27.32,28.24,0,
2023,12,24,SG,DEL,PNQ,2158,,,1,B
2023,5,9,6E,BOM,LKO,1943,7.58,10.34,0,
2023,2,10,AI,BOM,BHU,2022,11.21,11.02,0,
2023,6,11,6E,LKO,BOM,1119,32.8,29.04,0,
2023,2,5,6E,DEL,GOI,1518,6.2,7.59,0,
2023,8,27,G8,GOI,BOM,2326,19.92,17.93,0,
2023,4,9,SG,BOM,GOI,2146,21.25,14.34,0,
2023,7,9,SG,BHU,HYD,1500,22.3,33.42,0,
2023,5,23,6E,SXR,DEL,2041,1.88,2.33,0,
2023,12,13,6E,CCU,BOM,1055,,,1,B
2023,2,25,G8,BLR,PNQ,649,55.24,69.12,0,
2023,3,23,6E,DEL,PNQ,1448,10.74,11.89,0,
2023,4,24,UK,BLR,BOM,827,5.96,8.04,0,
2023,2,1,I5,LKO,MAA,1147,12.26,17.49,0,
2023,2,26,UK,MAA,BOM,1310,1.66,1.45,0,
2023,5,20,6E,HYD,GOI,1208,5.48,3.82,0,
2023,9,11,6E,CCU,PNQ,1438,2.59,3.05,0,
2023,2,22,G8,DEL,BOM,2108,41.18,29.83,0,
2023,10,8,AI,DEL,MAA,1322,13.11,14.96,0,
2023,10,8,I5,DEL,HYD,558,12.42,14.15,0,
2023,6,14,6E,HYD,DEL,817,9.73,8.27,0,
2023,11,19,6E,MAA,BOM,1658,17.43,13.53,0,
2023,2,1,AI,LKO,BOM,743,6.27,4.53,0,
2023,9,20,6E,DEL,CCU,1443,10.66,14.3,0,
2023,12,16,AI,LKO,DEL,702,12.86,16.75,0,
2023,12,22,G8,MAA,GOI,539,13.53,12.02,0,
2023,6,26,SG,AMD,DEL,1126,25.08,16.96,0,
2023,11,26,6E,MAA,AMD,1941,7.76,10.63,0,
2023,9,23,6E,BLR,PNQ,1505,5.29,5.69,0,
2023,7,14,6E,GOI,BOM,2318,18.46,17.51,0,
2023,1,26,6E,BOM,HYD,2249,18.89,13.42,0,
2023,6,25,AI,AMD,BOM,2253,19.67,13.94,0,
2023,6,12,6E,SXR,HYD,1919,11.43,7.96,0,
2023,6,3,6E,MAA,SXR,2206,6.92,5.56,0,
2023,8,3,6E,DEL,MAA,2036,13.47,9.54,0,
2023,6,27,6E,JAI,DEL,1125,31.46,24.85,0,
2023,6,12,6E,IXC,HYD,1431,8.02,6.18,0,
2023,11,9,G8,AMD,BLR,2126,7.64,7.79,0,
2023,8,8,6E,DEL,BLR,1907,10.09,13.75,0,
2023,12,15,6E,PNQ,BOM,1141,8.79,6.67,0,
2023,1,11,6E,DEL,BLR,2037,14.75,12.18,0,
2023,10,20,SG,MAA,CCU,538,21.11,18.28,0,
2023,10,27,6E,JAI,DEL,1624,9.98,12.02,0,
2023,11,19,I5,LKO,BOM,951,2.93,4.09,0,
2023,4,6,6E,BLR,BOM,2257,7.97,9.81,0,
2023,3,21,AI,BLR,SXR,1045,7.88,10.91,0,
2023,5,11,6E,BOM,HYD,1415,5.66,4.28,0,
2023,12,27,AI,BOM,DEL,520,13.98,15.7,0,
2023,7,28,G8,HYD,BOM,1347,17.33,12.91,0,
2023,11,5,6E,LKO,JAI,805,6.77,4.57,0,
2023,4,11,6E,BLR,MAA,2315,27.05,19.76,0,
2023,10,4,6E,MAA,BOM,733,-0.47,-0.58,0,
2023,2,21,SG,LKO,HYD,803,6.21,5.17,0,
2023,7,6,UK,DEL,CCU,1721,9.92,7.45,0,
2023,3,24,QP,BOM,HYD,502,9.64,6.97,0,
2023,8,11,6E,BOM,DEL,1150,15.37,17.77,0,
2023,5,22,AI,JAI,CCU,2234,26.46,24.59,0,
2023,6,3,UK,HYD,GOI,1136,4.47,3.91,0,
2023,12,10,6E,BLR,CCU,1224,68.3,61.85,0,
2023,11,6,SG,PNQ,BLR,2010,17.75,16.04,0,
2023,4,11,6E,DEL,CCU,1234,11.87,10.01,0,
2023,8,16,6E,JAI,CCU,527,7.01,4.92,0,
2023,7,10,AI,BOM,CCU,601,31.99,23.74,0,
2023,6,16,SG,BHU,GOI,1922,14.51,10.96,0,
2023,4,18,6E,LKO,DEL,2221,30.26,21.57,0,
2023,10,13,SG,GOI,DEL,1952,14.2,20.95,0,
2023,9,23,6E,DEL,AMD,1427,9.69,11.68,0,
2023,3,20,6E,LKO,BOM,1022,1.13,1.44,0,
2023,12,11,6E,BLR,BOM,1731,19.15,27.47,0,
2023,2,7,6E,SXR,DEL,627,4.4,4.45,0,
2023,7,26,6E,DEL,MAA,605,,,1,B
2023,7,25,G8,BLR,PNQ,1908,113.36,103.69,0,
2023,11,23,AI,HYD,GOI,1416,6.78,7.18,0,
2023,8,2,6E,BLR,BOM,828,9.14,10.35,0,
2023,3,16,6E,DEL,BOM,1337,4.87,4.19,0,
2023,5,14,SG,BOM,DEL,855,16.67,15.18,0,
2023,8,14,UK,CCU,GOI,739,12.58,16.1,0,
2023,11,19,6E,AMD,CCU,2341,5.54,6.23,0,
2023,5,10,6E,BOM,DEL,1050,3.65,4.39,0,
2023,2,7,AI,MAA,JAI,1604,29.25,20.6,0,
2023,11,4,6E,JAI,CCU,2351,11.07,10.56,0,
2023,2,6,6E,BLR,GOI,1938,3.38,3.15,0,
2023,9,7,6E,BOM,CCU,1141,5.09,5.52,0,
2023,10,11,AI,BOM,HYD,1853,17.95,13.51,0,
2023,2,8,6E,BHU,MAA,2338,3.47,4.8,0,
2023,12,10,6E,BLR,GOI,1028,20.41,25.75,0,
2023,9,4,UK,BLR,TRV,1152,4.77,3.27,0,
2023,5,27,6E,DEL,PNQ,656,7.23,6.33,0,
2023,10,7,6E,DEL,BOM,627,19.64,21.89,0,
2023,8,20,SG,BLR,CCU,610,31.95,25.26,0,
2023,8,3,G8,HYD,CCU,1514,39.09,42.9,0,
2023,11,14,6E,DEL,SXR,515,19.42,26.47,0,
2023,9,11,6E,TRV,LKO,1122,14.55,14.45,0,
2023,10,5,SG,DEL,AMD,1204,17.26,12.13,0,
2023,1,24,AI,GOI,BOM,2321,34.67,31.53,0,
2023,10,8,6E,HYD,BLR,2211,2.23,1.53,0,
2023,3,5,AI,BOM,DEL,2259,8.75,11.47,0,
2023,8,3,6E,DEL,BOM,1503,7.47,10.08,0,
2023,11,9,6E,BOM,DEL,752,12.65,10.51,0,
2023,5,2,G8,DEL,BLR,1444,23.41,19.18,0,
2023,11,24,UK,MAA,AMD,610,21.19,17.54,0,
2023,6,11,SG,LKO,BOM,805,14.82,13.32,0,
2023,6,8,G8,IXC,BOM,1546,11.66,16.11,0,
2023,2,20,6E,DEL,HYD,2246,7.41,7.17,0,
2023,2,13,UK,JAI,BOM,1249,20.67,15.12,0,
2023,4,9,6E,CCU,BLR,851,18.72,22.59,0,
2023,7,14,SG,DEL,MAA,1249,24.19,20.23,0,
2023,3,6,G8,DEL,BOM,1931,13.74,12.54,0,
2023,8,2,UK,BOM,GOI,2026,9.83,14.13,0,
2023,6,13,6E,DEL,BLR,1239,12.07,15.4,0,
2023,11,17,SG,DEL,BLR,527,9.07,8.41,0,
2023,10,9,G8,MAA,GOI,1648,6.6,7.72,0,
2023,8,28,AI,CCU,BOM,1910,15.2,20.58,0,
2023,9,22,6E,BLR,DEL,540,9.56,6.78,0,
2023,3,27,UK,DEL,MAA,2159,17.67,18.72,0,
2023,7,19,AI,DEL,PNQ,1856,15.99,13.17,0,
2023,11,9,AI,CCU,BLR,1821,19.3,17.28,0,
2023,10,11,6E,BOM,DEL,1202,,,1,C
2023,8,16,SG,DEL,BLR,1450,27.71,22.74,0,
2023,9,13,6E,PNQ,CCU,1442,10.69,10.5,0,
2023,1,23,6E,JAI,BLR,1335,24.12,25.9,0,
2023,3,23,6E,BOM,TRV,927,10.44,12.33,0,
2023,7,19,6E,MAA,BOM,757,6.51,6.89,0,
2023,10,23,SG,BOM,LKO,916,18.17,13.88,0,
2023,5,11,I5,BOM,SXR,1606,23.68,34.27,0,
2023,4,25,SG,HYD,AMD,1340,18.88,14.86,0,
2023,12,12,6E,LKO,BLR,1200,8.96,6.36,0,
2023,3,8,G8,BLR,BOM,552,7.97,7.63,0,
2023,11,5,6E,HYD,PNQ,1041,6.93,10.19,0,
2023,7,27,6E,CCU,BLR,1406,9.1,8.23,0,
2023,3,16,6E,JAI,DEL,612,1.72,1.15,0,
2023,8,2,6E,BLR,MAA,907,29.55,22.87,0,
2023,6,11,SG,BOM,DEL,656,24.87,20.03,0,
2023,4,2,G8,BHU,BOM,1159,19.85,21.76,0,
2023,9,26,6E,CCU,MAA,919,0.26,0.28,0,
2023,4,5,I5,BLR,PNQ,1931,28.76,22.01,0,
2023,8,1,SG,PNQ,LKO,1720,12.92,10.22,0,
2023,3,13,6E,DEL,CCU,825,8.45,11.63,0,
2023,1,2,6E,BLR,LKO,1905,20.64,14.12,0,
2023,3,19,G8,BOM,BLR,2042,22.67,18.45,0,
2023,9,24,6E,IXC,BOM,1235,7.07,7.38,0,
2023,10,26,6E,BLR,IXC,1809,2.58,2.48,0,
2023,9,17,6E,AMD,HYD,1950,0.9,0.75,0,
2023,6,13,6E,BOM,LKO,1113,16.14,13.02,0,
2023,8,9,6E,BOM,MAA,1723,22.17,28.16,0,
2023,8,25,UK,BOM,DEL,1123,14.08,11.92,0,
2023,11,1,6E,DEL,CCU,730,8.7,6.1,0,
2023,5,11,6E,GOI,BLR,847,19.47,16.83,0,
2023,6,26,6E,GOI,BOM,930,15.06,10.99,0,
2023,10,24,SG,MAA,JAI,1315,15.13,13.74,0,
2023,6,16,G8,DEL,SXR,2257,15.51,19.92,0,
2023,5,26,AI,BLR,CCU,1016,15.77,19.71,0,
2023,3,25,SG,BLR,HYD,1958,,,1,A
2023,8,2,AI,PNQ,BLR,743,15.52,20.88,0,
2023,3,4,6E,BLR,HYD,1912,4.08,2.81,0,
2023,2,2,6E,CCU,BOM,1322,4.19,3.71,0,
2023,2,8,UK,PNQ,AMD,802,55.29,53.14,0,
2023,9,9,6E,DEL,BLR,1421,17.28,22.91,0,
2023,3,16,6E,DEL,BLR,1108,26.78,22.52,0,
2023,4,4,SG,BOM,BLR,1744,19.28,17.02,0,
